"time","Output"
0.2000000000000000,0
1.2000000000000000,0
2.2000000000000002,1
3.2000000000000002,2
4.2000000000000002,3
5.2000000000000002,4
6.2000000000000002,5
7.2000000000000002,6
8.1999999999999993,7
9.1999999999999993,8
10.1999999999999993,9
11.1999999999999993,10
12.1999999999999993,0
13.1999999999999993,1
14.1999999999999993,2
15.1999999999999993,3
16.1999999999999993,4
17.1999999999999993,5
18.1999999999999993,6
19.1999999999999993,7
20.1999999999999993,8
21.1999999999999993,9
22.1999999999999993,10
23.1999999999999993,0
24.1999999999999993,1
25.1999999999999993,2
26.1999999999999993,3
27.1999999999999993,4
28.1999999999999993,5
29.1999999999999993,6
